NANYANG GIRLS' HIGH SCHOOL,1.331,103.8026
RAFFLES GIRLS' SCHOOL (SECONDARY),1.3124,103.8291
RAFFLES INSTITUTION,1.345712,103.8436823
HWA CHONG INSTITUTION,1.3264,103.8069
METHODIST GIRLS' SCHOOL (SECONDARY),1.3336,103.7828
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.3752,103.8344
DUNMAN HIGH SCHOOL,1.2981,103.8829
ANGLO-CHINESE SCHOOL (INDEPENDENT),1.3016,103.7805
NATIONAL JUNIOR COLLEGE,1.3297,103.8053
CEDAR GIRLS' SECONDARY SCHOOL,1.3347,103.875
ST. JOSEPH'S INSTITUTION,1.3238,103.8293
CATHOLIC HIGH SCHOOL,1.3556,103.8451
SINGAPORE CHINESE GIRLS' SCHOOL,1.3207,103.8269
VICTORIA SCHOOL,1.3085,103.9261
RIVER VALLEY HIGH SCHOOL,1.3449,103.7085
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.3513,103.8849
TEMASEK JUNIOR COLLEGE,1.3193,103.9349
ST. ANDREW'S SECONDARY SCHOOL,1.3317,103.8659
ANDERSON SECONDARY SCHOOL,1.3747,103.8509
BUKIT PANJANG GOVT. HIGH SCHOOL,1.3817,103.7394
CHIJ SECONDARY (TOA PAYOH),1.3317,103.8425
NAN HUA HIGH SCHOOL,1.3079,103.7699
ANGLO-CHINESE SCHOOL (BARKER ROAD),1.3196,103.8362
CRESCENT GIRLS' SCHOOL,1.2941,103.816
FAIRFIELD METHODIST SCHOOL (SECONDARY),1.3008,103.7842
NAN CHIAU HIGH SCHOOL,1.3897,103.8892
CHUNG CHENG HIGH SCHOOL (MAIN),1.3045,103.8908
ST. MARGARET'S SECONDARY SCHOOL,1.3196,103.8103
SWISS COTTAGE SECONDARY SCHOOL,1.3638,103.7507
ANGLICAN HIGH SCHOOL,1.3306,103.9422
CHUNG CHENG HIGH SCHOOL (YISHUN),1.4193,103.8382
COMMONWEALTH SECONDARY SCHOOL,1.3186,103.7454
NGEE ANN SECONDARY SCHOOL,1.3538,103.9567
MARIS STELLA HIGH SCHOOL,1.3401,103.8781
YISHUN TOWN SECONDARY SCHOOL,1.4321,103.8375
CHIJ ST. THERESA'S CONVENT,1.2763,103.823
XINMIN SECONDARY SCHOOL,1.372,103.8838
FUHUA SECONDARY SCHOOL,1.3474,103.7261
ST. PATRICK'S SCHOOL,1.3099,103.9171
TANJONG KATONG SECONDARY SCHOOL,1.308,103.8983
ZHONGHUA SECONDARY SCHOOL,1.3495,103.8689
CHIJ ST. JOSEPH'S CONVENT,1.3911,103.9022
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,1.3498,103.8538
