Punggol Cove Primary School,1.4122254,103.8985828,42
Punggol Green Primary School,1.4018,103.8992,94
Punggol Primary School,1.3782,103.8939,16
Punggol View Primary School,1.406,103.9048,76
Qifa Primary School,1.3119,103.7564,78
Qihua Primary School,1.4426,103.7889,58
Queenstown Primary School,1.2969,103.8081,56
Radin Mas Primary School,1.2745,103.824,96
Raffles Girls' Primary School,1.3295,103.8058,23
Red Swastika School,1.3332,103.934,32
Riverside Primary School,1.4469,103.8023,11
River Valley Primary School,1.293,103.8359,69
Rivervale Primary School,1.3932,103.9041,81
Rosyth School,1.3723,103.8748,78
Rulang Primary School,1.346,103.719,27
Sembawang Primary School,1.4447,103.8203,14
Sengkang Green Primary School,1.3928,103.8757,35
Seng Kang Primary School,1.39,103.8999,69
Shuqun Primary School,1.3477,103.7206,31
Si Ling Primary School,1.4325,103.7863,42
Singapore Chinese Girls' Primary School,1.3207,103.8269,62
South View Primary School,1.3812,103.7466,44
Springdale Primary School,1.3955,103.8895,42
Stamford Primary School,1.3043,103.8574,97
St. Andrew's Junior School,1.3316,103.8658,21
St. Anthony's Canossian Primary School,1.334,103.9412,97
St. Anthony's Primary School,1.3644881,103.7469731,75
St. Gabriel's Primary School,1.3502,103.8614,68
St. Hilda's Primary School,1.3493,103.9356,87
St. Joseph's Institution Junior,1.3173,103.8452,55
St. Margaret's Primary School,1.3044,103.8462,63
St. Stephen's School,1.319,103.9168,87
Tampines North Primary School,1.36,103.9488,78
Tampines Primary School,1.3494,103.9452,57
Tanjong Katong Primary School,1.3056,103.8998,21
Tao Nan School,1.3053,103.9119,97
Teck Ghee Primary School,1.3659,103.8505,65
Teck Whye Primary School,1.3834,103.7546,45
Telok Kurau Primary School,1.3317,103.911,23
Temasek Primary School,1.3176,103.9451,58
Townsville Primary School,1.3612,103.8538,77
Unity Primary School,1.4028,103.7474,41
Waterway Primary School,1.3990541,103.9184708,26
Wellington Primary School,1.4521,103.8219,56
West Grove Primary School,1.3451,103.6996,85
West Spring Primary School,1.3888,103.7666,2
Westwood Primary School,1.3481,103.7006,39
West View Primary School,1.384,103.7606,53
White Sands Primary School,1.3645,103.9615,92
Woodgrove Primary School,1.4325,103.7904,67
Woodlands Primary School,1.4363,103.7916,17
Woodlands Ring Primary School,1.4351,103.798,37
Xinghua Primary School,1.3581,103.8896,76
Xingnan Primary School,1.3422,103.6877,55
Xinmin Primary School,1.3708,103.8828,23
Xishan Primary School,1.4335,103.8367,29
Yangzheng Primary School,1.3493,103.8683,80
Yew Tee Primary School,1.3968,103.7502,58
Yio Chu Kang Primary School,1.3772,103.8856,71
Yishun Primary School,1.4344,103.8338,72
Yu Neng Primary School,1.3337,103.9316,19
Yuhua Primary School,1.3434,103.7409,98
Yumin Primary School,1.3515,103.9515,57
Zhangde Primary School,1.2847,103.8261,46
Zhenghua Primary School,1.3808,103.7689,56
Zhonghua Primary School,1.3589,103.8711,13
