ORCHID PARK SECONDARY SCHOOL,1.4149,103.8378,89
BEDOK SOUTH SECONDARY SCHOOL,1.326,103.9504,87
BUKIT VIEW SECONDARY SCHOOL,1.3465,103.7527,77
MERIDIAN SECONDARY SCHOOL,1.3684,103.9491,25
WESTWOOD SECONDARY SCHOOL,1.3542,103.7026,56
WOODGROVE SECONDARY SCHOOL,1.4289,103.7958,100
KENT RIDGE SECONDARY SCHOOL,1.3015,103.7658,94
MONTFORT SECONDARY SCHOOL,1.3749,103.8884,30
GREENDALE SECONDARY SCHOOL,1.3966,103.9114,28
JURONGVILLE SECONDARY SCHOOL,1.3512,103.7299,78
CHRIST CHURCH SECONDARY SCHOOL,1.426,103.7931,20
YISHUN SECONDARY SCHOOL,1.4272,103.8295,41
NEW TOWN SECONDARY SCHOOL,1.309,103.7734,9
TAMPINES SECONDARY SCHOOL,1.3489,103.9454,97
GREENRIDGE SECONDARY SCHOOL,1.3823,103.773,98
JURONG WEST SECONDARY SCHOOL,1.336,103.7016,61
CANBERRA SECONDARY SCHOOL,1.4535,103.8153,19
JUYING SECONDARY SCHOOL,1.3396,103.6875,68
SENG KANG SECONDARY SCHOOL,1.3871,103.898,69
ADMIRALTY SECONDARY SCHOOL,1.4467,103.803,53
NAVAL BASE SECONDARY SCHOOL,1.4187,103.8313,88
TECK WHYE SECONDARY SCHOOL,1.3835,103.7548,93
REGENT SECONDARY SCHOOL,1.3925,103.75,93
HOUGANG SECONDARY SCHOOL,1.3779,103.8816,18
BUKIT MERAH SECONDARY SCHOOL,1.2867,103.8135,91
GUANGYANG SECONDARY SCHOOL,1.3453,103.8508,58
OUTRAM SECONDARY SCHOOL,1.2863,103.8377,55
SERANGOON GARDEN SECONDARY SCHOOL,1.37,103.8696,61
SPRINGFIELD SECONDARY SCHOOL,1.3494,103.9295,20
ASSUMPTION ENGLISH SCHOOL,1.3692,103.7647,60
BARTLEY SECONDARY SCHOOL,1.3395,103.883,27
BEDOK GREEN SECONDARY SCHOOL,1.3346,103.9337,3
BENDEMEER SECONDARY SCHOOL,1.3245,103.8615,4
BOON LAY SECONDARY SCHOOL,1.3437,103.7022,83
BROADRICK SECONDARY SCHOOL,1.3068,103.887,43
CHANGKAT CHANGI SECONDARY SCHOOL,1.341,103.9522,95
DAMAI SECONDARY SCHOOL,1.3372,103.9275,20
DUNEARN SECONDARY SCHOOL,1.3637,103.7454,2
EAST SPRING SECONDARY SCHOOL,1.3558,103.9603,95
EAST VIEW SECONDARY SCHOOL,1.3582,103.9502,43
FAJAR SECONDARY SCHOOL,1.3751,103.7648,24
FUCHUN SECONDARY SCHOOL,1.43,103.777,53
HONG KAH SECONDARY SCHOOL,1.3518,103.7262,64
JUNYUAN SECONDARY SCHOOL,1.3525,103.9332,6
LOYANG VIEW SECONDARY SCHOOL,1.3673,103.9565,65
MANJUSRI SECONDARY SCHOOL,1.327,103.9014,89
MARSILING SECONDARY SCHOOL,1.4373,103.7775,76
NORTHBROOKS SECONDARY SCHOOL,1.4222,103.8448,59
NORTHLAND SECONDARY SCHOOL,1.4358,103.8398,80
PEICAI SECONDARY SCHOOL,1.3574,103.8705,71
PING YI SECONDARY SCHOOL,1.328,103.9202,48
PUNGGOL SECONDARY SCHOOL,1.4031,103.9096,29
QUEENSTOWN SECONDARY SCHOOL,1.2932,103.8134,95
SEMBAWANG SECONDARY SCHOOL,1.445,103.8162,25
SERANGOON SECONDARY SCHOOL,1.374,103.9017,54
SHUQUN SECONDARY SCHOOL,1.3395,103.7403,83
TANGLIN SECONDARY SCHOOL,1.3086,103.7579,87
WHITLEY SECONDARY SCHOOL,1.3559,103.8432,46
WOODLANDS SECONDARY SCHOOL,1.4395,103.7749,14
YIO CHU KANG SECONDARY SCHOOL,1.3773,103.8421,55
YUHUA SECONDARY SCHOOL,1.3477,103.7232,60
YUSOF ISHAK SECONDARY SCHOOL,1.3429,103.7609,97
YUYING SECONDARY SCHOOL,1.3571,103.8898,46
ASSUMPTION PATHWAY SCHOOL,1.3709,103.7665,50
CREST SECONDARY SCHOOL,1.3426,103.7427,92
NORTHLIGHT SCHOOL,1.3100463,103.8293981,38
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,1.3076,103.7693,58
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1.313,103.7746,66
"SCHOOL OF THE ARTS, SINGAPORE",1.2994,103.8485,6
SINGAPORE SPORTS SCHOOL,1.4269,103.7896,77
SPECTRA SECONDARY SCHOOL,1.4357,103.8044,49
